time,id,text,isRetweet,isDeleted,device,favorites,retweets,isFlagged
2017-01-20 00:40:00,8.22242e+17,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM... ",f,f,Twitter for iPhone,144912,28556,f
2017-01-20 12:31:00,8.22421e+17,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,f,f,Twitter for Android,232628,57772,f
2017-01-20 17:51:00,8.22502e+17,"power from Washington, D.C. and giving it back to you, the American People. InaugurationDay",f,f,Twitter for iPhone,78281,14880,f
2017-01-20 17:51:00,8.22502e+17,"Today we are not merely transferring power from one Administration to another, or from one party to another  but we are transferring...",f,f,Twitter for iPhone,94860,16452,f
2017-01-20 17:52:00,8.22502e+17,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",f,f,Twitter for iPhone,157266,35758,f
2017-01-20 17:53:00,8.22502e+17,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",f,f,Twitter for iPhone,197191,54888,f
2017-01-20 17:54:00,8.22503e+17,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,f,f,Twitter for iPhone,150159,30455,f
2017-01-20 17:54:00,8.22502e+17,"The forgotten men and women of our country will be forgotten no longer. From this moment on, its going to be AmericaFirst",f,f,Twitter for iPhone,127766,28442,f
2017-01-20 17:55:00,8.22503e+17,"We will follow two simple rules: BUY AMERICAN &amp, HIRE AMERICAN!InaugurationDay MAGA",f,f,Twitter for iPhone,139154,31067,f
2017-01-20 17:58:00,8.22504e+17,It is time to remember that...,f,f,Twitter for iPhone,50324,7299,f
2017-01-20 18:00:00,8.22504e+17,"So to all Americans, in every city near and far, small and large, from mountain to mountain...",f,f,Twitter for iPhone,74676,11530,f
2017-01-20 18:13:00,8.22507e+17,TO ALL AMERICANS,f,f,Twitter for iPhone,78850,13373,f
2017-01-20 04:24:00,8.22299e+17,"Thank you for a wonderful evening in Washington, D.C. Inauguration ",f,f,Twitter for iPhone,97187,17030,f
2017-01-21 11:53:00,8.22774e+17,A fantastic day and evening in Washington D.C.Thank you to FoxNews and so many other news outlets for the GREAT reviews of the speech!,f,f,Twitter for Android,154815,19176,f
2017-01-21 23:54:00,8.22956e+17,""" WhiteHouse: """"Do not allow anyone to tell you that it cannot be done. No challenge can match the HEA and FIGHT and SPIRIT of America.""""...""",t,f,Twitter for iPhone,0,23055,f
2017-01-21 04:56:00,8.22669e+17,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN ",f,f,Twitter for iPhone,252690,43325,f
2017-01-22 12:35:00,8.23147e+17,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",f,f,Twitter for Android,110252,13651,f
2017-01-22 12:47:00,8.2315e+17,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,f,f,Twitter for Android,182320,36870,f
2017-01-22 12:51:00,8.23151e+17,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",f,f,Twitter for Android,187784,32582,f
2017-01-22 14:23:00,8.23174e+17,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",f,f,Twitter for Android,346049,73987,f
2017-01-23 11:38:00,8.23495e+17,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,f,f,Twitter for Android,153674,21919,f
2017-01-24 11:11:00,8.23851e+17,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,f,f,Twitter for Android,133949,19443,f
2017-01-24 16:58:00,8.23938e+17,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! ,f,f,Twitter for iPhone,94364,17237,f
2017-01-24 17:04:00,8.23939e+17,"Great meeting with automobile industry leaders at the WhiteHouse this morning. Together, we will MAGA! ",f,f,Twitter for iPhone,85882,13257,f
2017-01-24 17:49:00,8.23951e+17,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off... ,f,f,Twitter for iPhone,113152,20935,f
2017-01-25 00:46:00,8.24056e+17,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the WhiteHouse today. ,f,f,Twitter for iPhone,87038,15297,f
2017-01-25 12:10:00,8.24228e+17,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",f,f,Twitter for Android,110259,21194,f
2017-01-25 12:13:00,8.24229e+17,"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",f,f,Twitter for Android,91096,15235,f
2017-01-25 12:17:00,8.2423e+17,I will be making my Supreme Court pick on Thursday of next week.Thank you!,f,f,Twitter for Android,112639,17504,f
2017-01-25 22:05:00,8.24378e+17,I will be interviewed by DavidMuir tonight at 10 o'clock on ABC. Will be my first interview from the White House.... ,f,f,Twitter for iPhone,65423,10191,f
2017-01-25 02:16:00,8.24078e+17,Congratulations to FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS CNN - public is smart!,f,f,Twitter for Android,138745,25660,f
2017-01-25 02:25:00,8.24081e+17,"""If Chicago doesn't fix the horrible """"carnage"""" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!""",f,f,Twitter for Android,178849,45752,f
